App Name,App ID,Workspace ID,Organization ID,App Token,Description,Webhook Priority
peripherals,app,peripherals,273432864,"""peripherals"": item_id_of_reference",no,
operative_system,app,operativesystem,273432865,"""operativesystem"": item_id_of_reference",no,
plus_1tb,app,plus1tb,273432866,"""plus1tb"": item_id_of_reference",no,
,,,,,,
,,,,,,
"Field Label ""acquired_devices""",Field Type,External ID,Field ID,Sample Value,Requiered,
customer,app,customer,273433046,"""customer"": item_id_of_reference",yes,
action,category,action,273433047,"""action"": integer_value_of_option",no,
date,date,date,273433048,"""date"" (""start"":""2011-12-31 11:27:10"", ""end"".:""2012-01-31 11:28:20""}",yes,
brand&model,text,brandmodel,273747621,"""brandmodel"": ""sample_value""",yes,
data_backup,category,databackup,273433049,"""databackup"": integer_value_of_option",no,
power_adapter,category,poweradapter,273433050,"""poweradapter"": integer_value_of_option",no,
serial,text,serial,273433051,"""serial"": ""sample_value""",yes,
known_issues,category,knownissues,273433052,"""knownissues"": integer_value_of_option",no,
observations,text,observations,273433053,"""observations"": ""sample_value""",no,
acquisition_cost,money,acquisitioncost,273433054,"""acquisitioncost"": {""value"":""123.00"", ""currency"":""MXN""}",no,
,,,,,,
,,,,,,
"Field Label ""quotations""",Field Type,External ID,Field ID,Sample Value,Requiered,
customer,app,customer,273433056,"""customer"": item_id_of_reference",yes,
action,category,action,273433057,"""action"": integer_value_of_option",no,
date,date,date,273433059,"""date"": {""start"": ""2011-12-31 11:27:10"", ""end"":""2012-01-31 11:28:20""}",yes,
service_or_spare_part,app,serviceorsparepart,273433058,"""serviceorsparepart"": item_id_of_reference",no,
type,category,type,273433063,"""type"": integer_value_of_option",no,
price,calculation,price,273433061,"""price"": ""sample_value""",no,
advance_payment,money,advancepayment,273433060,"""advancepayment"": {""value"":""123.00"",""currency"":""MXN""}",no,
bank_account,category,bankaccount,273433062,"""bankaccount"": integer_value_of_option",no,
bank_account_rendered,calculation,bankaccountrendered,273450782,"""bankaccountrendered"": ""sample_value""",no,
service_image,calculation,serviceimage,273433064,"""serviceimage"": ""sample_value""",no,
service_details,calculation,servicedetails,273433065,"""servicedetails"": ""sample_value""",no,
,,,,,,
,,,,,,
"Field Label ""plans""",Field Type,External ID,Field ID,Sample Value,Requiered,
customer,app,customer,273433546,"""customer"": item_id_of_reference",yes,
type,category,type,273433547,"""type"": integer_value_of_option",yes,
action,category,action,273750146,"""action"": integer_value_of_option",no,
employees,app,employees,273747601,"""employees"": item_id_of_reference",no,
number_of_visits,number,numberofvisits,273433554,"""numberofvisits"": 123",yes,
number_of_devices,number,numberofdevices,273433555,"""numberofdevices"": 123",yes,
devices,app,devices,273433556,"""devices"": item_id_of_reference",no,
location,location,location,273433548,"""location"": ""650 Townsend St., San Francisco, CA 94103""",yes,
date,date,date,273433549,"""date"": {""start"":""2011-12-31 11:27:10"", ""end"": ""2012-01-31 11:28:20""}",no,
monthly_fee,money,monthlyfee,273433550,"""monthlyfee"": {""value"":""123.00"", ""currency"":""MXN""}",no,
on_site_visits,app,onsitevisits,273433551,"""onsitevisits"": item_id_of_reference",no,
remote_services,app,remoteservices,273433552,"""remoteservices"": item_id_of_reference",no,
service_or_spare_part,app,serviceorsparepart,273756495,"""serviceorsparepart"": item_id_of_reference",no,
quotations,app,quotations,273656167,"""quotations"": item_id_of_reference",no,
notification_settings,category,notificationsettings,273662428,"""notificationsettings"": integer_value_of_option",no,
tickets,app,tickets,273747616,"""tickets"": item_id_of_reference",no,
appointments,app,appointments,273747617,"""appointments"": item_id_of_reference",no,
,,,,,,
,,,,,,
"Field Label ""tickets""",Field Type,External ID,Field ID,Sample Value,Requiered,
customer,app,customer,273686898,"""customer"": item_id_of_reference",yes,
plan_administrator,app,planadministrator,273746627,"""planadministrator"": item_id_of_reference",no,
status,category,status,275201869,"""status"": integer_value_of_option",no,
action,category,action,273746626,"""action"": integer_value_of_option",no,
type,category,type,273686902,"""type"": integer_value_of_option",yes,
service_type,category,servicetype,273686899,"""servicetype"": integer_value_of_option",no,
date,date,date,273686901,"""date"" {""start"": ""2011-12-31 11:27:10"", ""end"".:""2012-01-31 11:28:20""}",yes,
service_or_spare_part,app,serviceorsparepart,273746624,"""serviceorsparepart"": item _id_of_reference",no,
price,calculation,price,273746625,"""price"": ""sample_value""",no,
max_resolution_date,date,maxresolutiondate,273746623,"""maxresolutiondate"": {""start"":""2011-12-31 11:27:10"",""end"":""2012-01-31 11:28:20""}",no,
observations,text,observations,273686900,"""observations"": ""sample_value""",no,
diagnosis,text,diagnosis,275201960,"""diagnosis"": ""sample_value""",no,
performed_services,category,performedservices,275201958,"""performedservices"": integer_value_of_option",no,
rendered_services,calculation,renderedservices,275201959,"""renderedservices"": ""sample_value""",no,
year&month,calculation,yearmonth,275201961,"""yearmonth"": ""sample_value""",no,
reminder,calculation,reminder,275201962,"""reminder"": ""sample_value""",no,
service_under_30_min,calculation,serviceunder30min,275201963,"""serviceunder30min"": ""sample_value""",no,
,,,,,,
"Field Label ""appointments""",Field Type,External ID,Field ID,Sample Value,Requiered,
customer,app,customer,273458794,"""customer"": item_id_of_reference",no,
plan_administrator,app,planadministrator,273747615,"""planadministrator"": item_id_of_reference",no,
date,date,date,273458796,"""date"": (""start"":""2011-12-31 11:27:10"", ""end"".:""2012-01-31 11:28:20""}",no,
status,category,status,273660352,"""status"": integer_value_of_option",no,
location,category,location,273458803,"""location"": integer_value_of_option",no,
more_details,text,moredetails,273655826,"""moredetails"": ""sample _value""",no,
service_type,category,servicetype,273458809,"""servicetype"": integer_value_of_option",no,
,,,,,,
,,,,,,
"Field Label ""students""",Field Type,External ID,Field ID,Sample Value,Requiered,
name,text,name,273747624,"""name"": ""sample_value""",yes,
sign_in_date,date,signindate,273457211,"""signindate"": {start"":""2011-12-31 11:27:10"", ""end"":""2012-01-31 11:28:20""}",yes,
phone,phone,phone,273457212,"""phone"": [{ ""type"": ""mobile|work|home|main|work_fax|private|fax|other"", ""value"": ""+4500000000"" }, ...]",yes,
progress,progress,progress,273457214,"""progress"": integer_between_0_and_100",no,
email,email,email,273457213,"""email"": I ""type"": ""other|home|work"", ""value"": ""mail@example.com"" }, .]",no,
status,category,status,273457731,"""status"": integer_value_of_option",no,
level,category,level,273457210,"""level"": integer_value_of_option",no,
auth0_id,text,auth0id,275216662,"""auth0id"": ""sample_value""",,
,,,,,,
"Field Label ""courses""",Field Type,External ID,Field ID,Sample Value,Requiered,
course_name,text,coursename,273747622,"""coursename"": ""sample_value""",yes,
status,category,status,273457323,"""status"": integer_value_of_option",no,
description,text,description,273457319,"""description"": ""sample_value""",no,
syllabus,text,syllabus,273457320,"""syllabus"": ""sample_value""",no,
duration,number,duration,273457321,"""duration"": 123",no,
price,money,price,273457322,"""price"": (""value"":""123.00"", ""currency"": ""MXN""}",no,
,,,,,,
,,,,,,
"Field Label ""classes""",Field Type,External ID,Field ID,Sample Value,Requiered,
name,text,name	,273747619,"""name"": ""sample_value""",yes,
students,app,students,273457337,"""students"": item_id_of_reference",no,
action,category,action,273457340,"""action"": integer_value_of_option",no,
schedule,category,schedule,273457341,"""schedule"": integer_value_of_option",no,
instructor,category,instructor,273457338,"""instructor"": integer_value_of_option",no,
date,date,date,273457339,"""date"": {""start"": ""2011-12-31 11:27:10"", ""end"": ""2012-01-31 11:28:20""}",no,
,,,,,,
,,,,,,
"Field Label ""enrollments""",Field Type,External ID,Field ID,Sample Value,Requiered,
student,app,student,273457443,"""student"": item_id_of_reference",no,
action,category,action,273457448,"""action"": integer_value_of_option",no,
class,app,class,273457444,"""class"": item_id_of_reference",no,
status,category,status,273457445,"""status"": integer_value_of_option",no,
completion_date,date,completiondate,273457446,"""completiondate"": {""start"":""2011-12-31 11:27:10"", ""end"": ""2012-01-31 11:28:20""}",no,
performance,number,performance,273457447,"""performance"": 123",no,
,,,,,,
,,,,,,
"Field Label ""chapters""",Field Type,External ID,Field ID,Sample Value,Requiered,
name,text,name,273747623,"""name"": ""sample_value""",no,
,,,,,,
"Field Label ""invoices""",Field Type,External ID,Field ID,Sample Value,Requiered,
customer,app,customer,273756482,"""customer"": item_id_of_reference",yes,
type,category,type,273756483,"""type"": integer_value_of_option",yes,
action,category,action,273756484,"""action"": integer_value_of_option",no,
date,date,date,273756485,"""date"": {""start"":""2011-12-31 11:27:10"",""end"":2012-01-31 11:28:20""}",no,
monthly_fee,money,monthlyfee,273756486,"""monthlyfee"": ""value"": ""123.00"", ""currency"": ""USD""}",no,
services,app,services,273756487,"""services"": item_id_of_reference",no,
tickets,app,tickets,273756488,"""tickets"": item_id_of_reference",no,
appointments,app,appointments,273756489,"""appointments"": item_id_of_reference",no,
service_or_spare_part,app,serviceorsparepart,273756490,"""serviceorsparepart"": item_id_of_reference",no,
number_of_visits,number,numberofvisits,273756491,"""numberofvisits"": 123",no,
number_of_devices,number,numberofdevices,273756492,"""numberofdevices"": 123",no,
minutes_used,calculation,minutesused,273756493,"""minutesused"": ""sample_value""",no,
visits_used,calculation,visitsused,273758699,"""visitsused"": ""sample_value""",no,
,,,,,,
"Field Label ""technicians""",Field Type,External ID,Field ID,Sample Value,Requiered,
name,text,title,275215251,"""title"": ""sample_value""",no,
whatsapp,text,whatsapp,275215254,"""title"": ""sample_value""",no,
,,,,,,
Field Label,Target App,Relationship Type,Field ID,,,
devices → customer,customers,many-to-one,273431902,,,
services → customer,customers,many-to-one,273432337,,,
services → device,devices,many-to-one,273432338,,,
services → service_or_spare_part,service_or_spare_part,many-to-one,275215327,,,
services → technician,technicians,many-to-one,275215328,,,
store → customer,customers,many-to-one,273432773,,,
store → device_in_exchange,devices,many-to-one,273432798,,,
gamer → customer,customers,many-to-one,273432815,,,
gamer → motherboard,service_or_spare_part,many-to-one,273432855,,,
gamer → ram,service_or_spare_part,many-to-one,273432856,,,
gamer → processor,service_or_spare_part,many-to-one,273432857,,,
gamer → storage,service_or_spare_part,many-to-one,273432858,,,
gamer → power_supply,service_or_spare_part,many-to-one,273432859,,,
gamer → cooling_system,service_or_spare_part,many-to-one,273432860,,,
gamer → graphics_card,service_or_spare_part,many-to-one,273432861,,,
gamer → case,service_or_spare_part,many-to-one,273432862,,,
gamer → monitor,service_or_spare_part,many-to-one,273432863,,,
gamer → peripherals,service_or_spare_part,many-to-one,273432864,,,
gamer → operative_system,service_or_spare_part,many-to-one,273432865,,,
gamer → plus_1tb,service_or_spare_part,many-to-one,273432866,,,
acquired_devices → customer,customers,many-to-one,273433046,,,
quotations → customer,customers,many-to-one,273433056,,,
quotations → service_or_spare_part,service_or_spare_part,many-to-one,273433058,,,
plans → customer,customers,many-to-one,273433546,,,
plans → employees,customers,one-to-many,273747601,,,
plans → devices,devices,one-to-many,273433556,,,
plans → on_site_visits,services,one-to-many,273433551,,,
plans → remote_services,services,one-to-many,273433552,,,
plans → products,products,one-to-many,273433553,,,
plans → quotations,quotations,one-to-many,273656167,,,
plans → tickets,tickets,one-to-many,273747616,,,
plans → appointments,appointments,one-to-many,273747617,,,
tickets → customer,customers,many-to-one,273686898,,,
tickets → plan_administrator,customers,many-to-one,273746627,,,
tickets → service_or_spare_part,service_or_spare_part,many-to-one,273746624,,,
appointments → customer,customers,many-to-one,273458794,,,
appointments → plan_administrator,customers,many-to-one,273747615,,,
classes → students,students,one-to-many,273457337,,,
enrollments → student,students,many-to-one,273457443,,,
enrollments → class,classes,many-to-one,273457444,,,
invoices → customer,customers,many-to-one,273756482,,,
invoices → services,services,one-to-many,273756487,,,
invoices → tickets,tickets,one-to-many,273756488,,,
invoices → appointments,appointments,one-to-many,273756489,,,
invoices →service_or_spare_part,service_or_spare_part,one-to-many,273756490,,,
